"HttpPath","RouteFile","ExternalRefs"
"/api/admin/payments/[id]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\payments\[id]\route.ts","0"
"/api/admin/portal/events/[id]/media","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\portal\events\[id]\media\route.ts","0"
"/api/admin/portal/feed-posts/[id]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\portal\feed-posts\[id]\route.ts","0"
"/api/admin/portal/feed-posts/[id]/approve","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\portal\feed-posts\[id]\approve\route.ts","0"
"/api/admin/portal/feed-posts/[id]/reject","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\portal\feed-posts\[id]\reject\route.ts","0"
"/api/admin/portal/reports/[id]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\portal\reports\[id]\route.ts","0"
"/api/admin/pricing/categories/[id]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\pricing\categories\[id]\route.ts","0"
"/api/admin/pricing/rules/[id]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\pricing\rules\[id]\route.ts","0"
"/api/admin/receipts/batches/[id]/download","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\receipts\batches\[id]\download\route.ts","0"
"/api/admin/receipts/payments/[paymentId]/download","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\receipts\payments\[paymentId]\download\route.ts","0"
"/api/admin/rooms/[id]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\rooms\[id]\route.ts","0"
"/api/admin/schedule/[id]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\schedule\[id]\route.ts","0"
"/api/admin/students/[id]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\students\[id]\route.ts","0"
"/api/admin/students/[id]/classes","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\students\[id]\classes\route.ts","0"
"/api/admin/students/joint-groups/[groupId]/members","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\students\joint-groups\[groupId]\members\route.ts","0"
"/api/admin/students/joint-groups/[groupId]/members/[studentId]","C:\Users\hugol\OneDrive\Documentos\Proyectos\Aplicaciones\dance-school-hub\backend\app\api\admin\students\joint-groups\[groupId]\members\[studentId]\route.ts","0"
